SolventC,SolventD,SolventE,Time,ratioA,ratioB,ratioC,ratioD,ratioE,regression（200s/1s）,classification
CN1CCCC1=O,0,0,200,0.55,0.4,0.05,0,0,0.005346182,0
CO,0,0,200,0.55,0.4,0.05,0,0,1.22385043,0
CC(=O)O,0,0,200,0.55,0.4,0.05,0,0,0.536375377,0
C1=CC=C(C=C1)CO,0,0,200,0.55,0.4,0.05,0,0,-0.005853774,0
CCOC(=O)C,0,0,200,0.55,0.4,0.05,0,0,0.148403977,0
C1CC(=O)OC1,0,0,200,0.55,0.4,0.05,0,0,0.26274057,0
CC#N,0,0,200,0.55,0.4,0.05,0,0,1.160097521,0
CC(CO)O,0,0,200,0.55,0.4,0.05,0,0,0.964994775,0
CCCCCC,0,0,200,0.55,0.4,0.05,0,0,-0.350645756,0
CCCCCCCC,0,0,200,0.55,0.4,0.05,0,0,-0.048217684,0
CC(C)O,0,0,200,0.55,0.4,0.05,0,0,10.70317003,0
CCO,0,0,200,0.55,0.4,0.05,0,0,1.281795511,0
C1=CC=C(C(=C1)Cl)Cl,0,0,200,0.55,0.4,0.05,0,0,1.712728344,0
CC(=O)N(C)C,0,0,200,0.55,0.4,0.05,0,0,2.818589744,0
CCN(CC)CC ,0,0,200,0.55,0.4,0.05,0,0,0.875137615,0
CC(=O)C,0,0,200,0.55,0.4,0.05,0,0,0.465318231,1
C(CO)O,0,0,200,0.55,0.4,0.05,0,0,0.163811685,0
C(CO)O,CC1=CC=CC=C1,0,200,0.55,0.4,0.05,0.025,0,0.223194748,0
CC(=O)C,CN1CCCC1=O,0,200,0.55,0.4,0.025,0.025,0,0.032743509,0
CCN(CC)CC,CO,0,200,0.55,0.4,0.025,0.025,0,0.936548223,1
CC(=O)N(C)C,CC(=O)O,0,200,0.55,0.4,0.025,0.025,0,0.375279503,0
C1=CC=C(C(=C1)Cl)Cl,C1=CC=C(C=C1)CO,0,200,0.55,0.4,0.025,0.025,0,0.634511684,1
CCO,CCCCN,0,200,0.55,0.4,0.025,0.025,0,-0.222776911,0
CC(C)O,C1CC(=O)OC1,0,200,0.55,0.4,0.025,0.025,0,1.641135512,0
CCCCCC,CC(CO)O,0,200,0.55,0.4,0.025,0.025,0,0.897697541,1
CC#N,CCCCCCCC,0,200,0.55,0.4,0.025,0.025,0,0.646234995,1
C1CC(=O)OC1,CC(C)O,0,200,0.55,0.4,0.025,0.025,0,7.540740741,0
CCCCN,CCO,0,200,0.55,0.4,0.025,0.025,0,12.2037037,0
C1=CC=C(C=C1)CO,C1=CC=C(C(=C1)Cl)Cl,0,200,0.55,0.4,0.025,0.025,0,0.650621118,1
CC(=O)O,CC(=O)N(C)C,0,200,0.55,0.4,0.025,0.025,0,1.161764706,0
CO,CCN(CC)CC,0,200,0.55,0.4,0.025,0.025,0,0.867630824,0
CN1CCCC1=O,CC(=O)C,0,200,0.55,0.4,0.025,0.025,0,0.712090848,1
CC1=CC=CC=C1,C(CO)O,0,200,0.55,0.4,0.025,0.025,0,1.141698677,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,200,0.72,0.24,0.02,0.01,0.01,0.777777778,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,50,0.72,0.24,0.02,0.01,0.01,0.729437229,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,100,0.72,0.24,0.02,0.01,0.01,0.753246753,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,150,0.72,0.24,0.02,0.01,0.01,0.80952381,1
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,200,0.6,0.32,0.1,0.1,0.2,0.523108218,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,150,0.6,0.32,0.1,0.1,0.2,0.532465419,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,100,0.6,0.32,0.1,0.1,0.2,0.503824247,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,50,0.6,0.32,0.1,0.1,0.2,0.444344996,0
C(CO)O,CCCCN,CN1CCCC1=O,200,0.72,0.24,0.02,0.01,0.01,0.08815754,0
C(CO)O,CCCCN,CN1CCCC1=O,50,0.72,0.24,0.02,0.01,0.01,0.191232803,0
C(CO)O,CCCCN,CN1CCCC1=O,100,0.72,0.24,0.02,0.01,0.01,0.132263286,0
C(CO)O,CCCCN,CN1CCCC1=O,150,0.72,0.24,0.02,0.01,0.01,0.110547613,0
CC1=CC=CC=C1,CN1CCCC1=O,CO,200,0.72,0.24,0.02,0.01,0.01,0.815951493,1
CC1=CC=CC=C1,CN1CCCC1=O,CO,50,0.72,0.24,0.02,0.01,0.01,0.935634328,1
CC1=CC=CC=C1,CN1CCCC1=O,CO,100,0.72,0.24,0.02,0.01,0.01,0.880503731,1
CC1=CC=CC=C1,CN1CCCC1=O,CO,150,0.72,0.24,0.02,0.01,0.01,0.851399254,1
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CO,50,0.6,0.32,0.1,0.1,0.2,0.205454545,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CO,100,0.6,0.32,0.1,0.1,0.2,0.077527273,0
CN1CCCC1=O,CCCCCCCC,CC(=O)O,200,0.72,0.24,0.02,0.01,0.01,0.411947086,1
CN1CCCC1=O,CCCCCCCC,CC(=O)O,50,0.72,0.24,0.02,0.01,0.01,0.630425796,1
CN1CCCC1=O,CCCCCCCC,CC(=O)O,100,0.72,0.24,0.02,0.01,0.01,0.490698636,1
CN1CCCC1=O,CCCCCCCC,CC(=O)O,150,0.72,0.24,0.02,0.01,0.01,0.445638694,1
CC#N,CCCCCC,CCCCN,200,0.72,0.24,0.02,0.01,0.01,0.177251471,0
CC#N,CCCCCC,CCCCN,50,0.72,0.24,0.02,0.01,0.01,0.45210439,1
CC#N,CCCCCC,CCCCN,100,0.72,0.24,0.02,0.01,0.01,0.378639312,1
CC#N,CCCCCC,CCCCN,150,0.72,0.24,0.02,0.01,0.01,0.246945241,0
CC(=O)N(C)C,CO,CCOC(=O)C,200,0.72,0.24,0.02,0.01,0.01,0.481130835,0
CC(=O)N(C)C,CO,CCOC(=O)C,50,0.72,0.24,0.02,0.01,0.01,0.917159763,0
CC(=O)N(C)C,CO,CCOC(=O)C,100,0.72,0.24,0.02,0.01,0.01,0.648191979,0
CC(=O)N(C)C,CO,CCOC(=O)C,150,0.72,0.24,0.02,0.01,0.01,0.518408941,0
CC1=CC=CC=C1,CN1CCCC1=O,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0.916571429,1
CC1=CC=CC=C1,CN1CCCC1=O,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,0.897714286,1
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0.383171706,1
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,1.385054193,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,150,0.6,0.32,0.1,0.1,0.2,2.714774672,0
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,3.634341129,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0.779793637,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,1.024075666,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,150,0.6,0.32,0.1,0.1,0.2,1.049871023,0
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,1.235597592,0
CCCCCC,CC(C)O,C1CC(=O)OC1,200,0.72,0.24,0.02,0.01,0.01,0.536059577,1
CCCCCC,CC(C)O,C1CC(=O)OC1,50,0.72,0.24,0.02,0.01,0.01,0.58988764,1
CCCCCC,CC(C)O,C1CC(=O)OC1,100,0.72,0.24,0.02,0.01,0.01,0.559837993,1
CCCCCC,CC(C)O,C1CC(=O)OC1,150,0.72,0.24,0.02,0.01,0.01,0.545466423,1
CC(C)O,C1CC(=O)OC1,CC(CO)O,200,0.72,0.24,0.02,0.01,0.01,0.512598425,1
CCO,C1CC(=O)OC1,CC(CO)O,50,0.72,0.24,0.02,0.01,0.01,0.629133858,1
CCO,C1CC(=O)OC1,CC(CO)O,100,0.72,0.24,0.02,0.01,0.01,0.558005249,1
CCO,C1CC(=O)OC1,CC(CO)O,150,0.72,0.24,0.02,0.01,0.01,0.527559055,1
CC#N,CC1=CC=CC=C1,CCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.872698989,0
CO,CC(=O)C,CCCCCC,200,0.72,0.24,0.02,0.01,0.01,0.25648213,0
CO,CC(=O)C,CCCCCC,50,0.72,0.24,0.02,0.01,0.01,0.32571829,0
CO,CC(=O)C,CCCCCC,100,0.72,0.24,0.02,0.01,0.01,0.249474422,0
CO,CC(=O)C,CCCCCC,150,0.72,0.24,0.02,0.01,0.01,0.204765242,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.734981119,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,0.55166495,1
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0.527634741,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,150,0.6,0.32,0.1,0.1,0.2,0.545142465,0
CC(=O)C,CC(=O)O,CCCCCCCC,200,0.72,0.24,0.02,0.01,0.01,0.676196809,1
CC(=O)C,CC(=O)O,CCCCCCCC,50,0.72,0.24,0.02,0.01,0.01,1.042553191,1
CC(=O)C,CC(=O)O,CCCCCCCC,100,0.72,0.24,0.02,0.01,0.01,0.969414894,1
CC(=O)C,CC(=O)O,CCCCCCCC,150,0.72,0.24,0.02,0.01,0.01,0.830452128,1
CC(CO)O,CCCCCC,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.324939662,0
CC(CO)O,CCCCCC,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,0.424054706,1
CC(CO)O,CCCCCC,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0.331295253,0
CC(CO)O,CCCCCC,CCCCCCCC,130,0.6,0.32,0.1,0.1,0.2,0.313193886,0
CCOC(=O)C,CO,CC(C)O,200,0.6,0.32,0.1,0.1,0.2,0.031446224,0
CCOC(=O)C,CO,CC(C)O,50,0.6,0.32,0.1,0.1,0.2,0.180594966,0
CCOC(=O)C,CO,CC(C)O,100,0.6,0.32,0.1,0.1,0.2,0.052540046,0
CCOC(=O)C,CO,CC(C)O,150,0.6,0.32,0.1,0.1,0.2,0.039789474,0
CCCCCCCC,CC#N,CC(C)O,200,0.72,0.24,0.02,0.01,0.01,0.458516746,1
CCCCCCCC,CC#N,CC(C)O,50,0.72,0.24,0.02,0.01,0.01,0.535885167,1
CCCCCCCC,CC#N,CC(C)O,100,0.72,0.24,0.02,0.01,0.01,0.488516746,1
CCCCCCCC,CC#N,CC(C)O,150,0.72,0.24,0.02,0.01,0.01,0.468708134,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,50,0.72,0.24,0.02,0.01,0.01,0.694949495,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,100,0.72,0.24,0.02,0.01,0.01,0.647138047,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,150,0.72,0.24,0.02,0.01,0.01,0.618316498,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,200,0.72,0.24,0.02,0.01,0.01,0.604579125,1
C1=CC=C(C=C1)CO,CC(=O)O,C1=CC=C(C(=C1)Cl)Cl,200,0.6,0.32,0.1,0.1,0.2,1.186282151,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,200,0.72,0.24,0.02,0.01,0.01,0.164867725,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,50,0.72,0.24,0.02,0.01,0.01,0.224126984,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,100,0.72,0.24,0.02,0.01,0.01,0.167830688,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,150,0.72,0.24,0.02,0.01,0.01,0.157354497,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,200,0.72,0.24,0.02,0.01,0.01,0.218630339,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,50,0.72,0.24,0.02,0.01,0.01,0.635861561,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,100,0.72,0.24,0.02,0.01,0.01,0.614506627,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,150,0.72,0.24,0.02,0.01,0.01,0.583210604,0
CC(=O)O,CCCCN,CC(=O)N(C)C,200,0.6,0.32,0.1,0.1,0.2,5.777627119,0
CCOC(=O)C,C1=CC=C(C=C1)CO,CCN(CC)CC,50,0.72,0.24,0.02,0.01,0.01,0.15258012,0
CO,CCOC(=O)C,CCN(CC)CC,200,0.6,0.32,0.1,0.1,0.2,0.851778656,0
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,1.285498489,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,50,0.6,0.32,0.1,0.1,0.2,0.910876133,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,100,0.6,0.32,0.1,0.1,0.2,1.036253776,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,150,0.6,0.32,0.1,0.1,0.2,1.172205438,1
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,2.869910626,0
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,160,0.6,0.32,0.1,0.1,0.2,1.119165839,0
CCCCN,CCO,CC(=O)C,200,0.72,0.24,0.02,0.01,0.01,0.719165085,1
CCCCN,CCO,CC(=O)C,50,0.72,0.24,0.02,0.01,0.01,0.75711575,1
CCCCN,CCO,CC(=O)C,100,0.72,0.24,0.02,0.01,0.01,0.746204934,1
CCCCN,CCO,CC(=O)C,150,0.72,0.24,0.02,0.01,0.01,0.726280835,1
CC(CO)O,CCN(CC)CC,C(CO)O,200,0.72,0.24,0.02,0.01,0.01,0.320855148,0
CC(CO)O,CCN(CC)CC,C(CO)O,50,0.72,0.24,0.02,0.01,0.01,0.35017452,0
CC(CO)O,CCN(CC)CC,C(CO)O,100,0.72,0.24,0.02,0.01,0.01,0.34965096,0
CC(CO)O,CCN(CC)CC,C(CO)O,150,0.72,0.24,0.02,0.01,0.01,0.328621291,0
